sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
144;SDS011;3528;-0.286;36.067;2022-11-25T10:10:07.649276+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:10:07.649276+00:00;P1;7
145;DHT22;3528;-0.286;36.067;2022-11-25T10:10:07.657697+00:00;humidity;69
145;DHT22;3528;-0.286;36.067;2022-11-25T10:10:07.657697+00:00;temperature;29
144;SDS011;3528;-0.286;36.067;2022-11-25T10:11:07.911002+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:11:07.911002+00:00;P1;7
145;DHT22;3528;-0.286;36.067;2022-11-25T10:11:07.911299+00:00;humidity;69
145;DHT22;3528;-0.286;36.067;2022-11-25T10:11:07.911299+00:00;temperature;29
144;SDS011;3528;-0.286;36.067;2022-11-25T10:12:47.475238+00:00;P2;5
144;SDS011;3528;-0.286;36.067;2022-11-25T10:12:47.475238+00:00;P1;22
145;DHT22;3528;-0.286;36.067;2022-11-25T10:12:48.190969+00:00;humidity;66
145;DHT22;3528;-0.286;36.067;2022-11-25T10:12:48.190969+00:00;temperature;30
144;SDS011;3528;-0.286;36.067;2022-11-25T10:13:08.154815+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:13:08.154815+00:00;P1;7
145;DHT22;3528;-0.286;36.067;2022-11-25T10:13:08.157016+00:00;humidity;69
145;DHT22;3528;-0.286;36.067;2022-11-25T10:13:08.157016+00:00;temperature;29
144;SDS011;3528;-0.286;36.067;2022-11-25T10:13:47.699395+00:00;P2;5
144;SDS011;3528;-0.286;36.067;2022-11-25T10:13:47.699395+00:00;P1;22
145;DHT22;3528;-0.286;36.067;2022-11-25T10:13:48.372838+00:00;humidity;66
145;DHT22;3528;-0.286;36.067;2022-11-25T10:13:48.372838+00:00;temperature;30
144;SDS011;3528;-0.286;36.067;2022-11-25T10:15:27.163125+00:00;P2;6
144;SDS011;3528;-0.286;36.067;2022-11-25T10:15:27.163125+00:00;P1;22
145;DHT22;3528;-0.286;36.067;2022-11-25T10:15:27.368605+00:00;humidity;70
145;DHT22;3528;-0.286;36.067;2022-11-25T10:15:27.368605+00:00;temperature;30
144;SDS011;3528;-0.286;36.067;2022-11-25T10:15:47.916877+00:00;P2;5
144;SDS011;3528;-0.286;36.067;2022-11-25T10:15:47.916877+00:00;P1;22
145;DHT22;3528;-0.286;36.067;2022-11-25T10:15:48.586050+00:00;humidity;66
145;DHT22;3528;-0.286;36.067;2022-11-25T10:15:48.586050+00:00;temperature;30
